id,name,amount,unit_issue,unit_rate,department
717236d8-4722-4cf9-beab-88070142bb0c,Blood Bag,3.0,CTN,79200.0,
77cecb92-1198-4272-83f8-d97aa6ef7db6,Plain Capillary Tube,4.0,PKT,13050.0,
46dc19c0-3af4-4914-82b2-ad9c1727c8cb,Heparinised Cappilary Tube,2.0,PKT,12600.0,
cdf9d689-3299-48b4-833a-d8e3b489f1ad,Pregnancy Kit,0.0,PKT,0.0,
6dd81390-43b1-4cac-b98a-c8a487f09944,Nutrient Agar,5.0,PKT,37000.0,
15aebbd1-0fd7-4a44-a1d1-4d0f566e483a,Macconkey Agar,0.0,TIN,0.0,
9add7d26-eef4-478e-b781-ede71d66c2ac,Sodium Dithonite,0.0,TIN,0.0,
fffc5978-0264-40a1-b7cb-f685885b7500,Anti A,0.0,PACK,0.0,
7ec50c63-aab2-4be7-8a56-404e55231b5f,Anti B,0.0,PACK,0.0,
42fee639-9761-4488-8dc6-0acd9eb2865c,Anti D,2.0,PACK,21750.0,
59b6a70b-1eda-4424-8db1-ce6e6a9e9d0e,Anti Human GLOBIN (A.H.G),0.0,PCS,0.0,
5108dc81-05ab-4565-a299-755dee64422f,Glycer Hestology,0.0,2.5Lit / Drum,0.0,
1fd2dec6-9231-4b65-b662-ce52255b6393,Bovin Albumon,1.0,PCS,3500.0,
b2dd36c8-69fd-417d-ae7e-3c5b813f5167,Ethanol,3.0,2.5Lit / Drum,8500.0,
b2f55aa2-e0cf-4f74-bf5b-5a09785f833f,Negative Disc,0.0,PKT,0.0,
ca24b270-bfd2-4685-bdc9-e20414127846,Positive Disc,0.0,PKT,0.0,
5fa83b38-da58-44bf-983d-73fd5827d32f,Glucose Kit,0.0,PKT,0.0,
a033f493-152e-4815-bfb4-5f5e11716663,Petridish,0.0,CTN,0.0,
c0940364-cebb-4668-9246-740b5238e91e,Universal Conatiner,0.0,CTN,0.0,
362c3dc2-e98e-4f13-b373-88419ec77c39,Acetone,0.0,2.5Lit,0.0,
99a33cda-3e7d-48a7-b90a-677f70afe37c,Urea Salt,0.0,TIN,0.0,
4b1bdae5-e146-4f92-92cb-5bcd8c8c3f10,S.G.O.T/AST K2,0.0,PKT,0.0,
2618a2f5-3e59-43ff-ae88-2090aa18886b,S.G.P.T/ALT,0.0,PKT,0.0,
f7d91f9c-35d7-4470-b00b-532aac5afb4c,Sample Cup,0.0,PKT,0.0,
321a3a3e-55a4-478e-942c-0ab3903f7538,Audican Electrolyte Analyser Printing Paper,0.0,PKT,0.0,
8caf3f34-3cb9-4a84-91d3-8e3c78d0b0ae,Bilirubin Kit,0.0,PKT,0.0,
ebb05fcb-5d37-4aaa-89ff-947cff74938b,Micro Slide,0.0,PKT,0.0,
7628e066-f4c2-4adb-8d21-73fc78a20c63,Large Micro Slide,0.0,PKT,0.0,
252a1c1a-7f78-4e31-b35a-81595a8a16d9,Cover Slip (22*22),0.0,PKT,0.0,
eb5d9581-73de-4261-af85-9ac2238e3e05,Cover Slip (22*32),0.0,PKT,0.0,
1af01409-ca61-496d-b679-82d70e217e80,Cover Slip (22*40) & (22*50),0.0,PKT,0.0,
b7fcc610-9397-49da-b12e-9763b8c34778,Cover Slip (22*26),0.0,PKT,0.0,
3509942b-0b20-4bb3-bfc1-582152726f30,Swab Stick,0.0,PKT,0.0,
2ad100e9-564f-4203-8585-e0c9651f313f,5 ML Needle & Syringe,0.0,PKT,0.0,
ba590397-0adc-4f7f-a253-57e64df35315,Cotton Wool,0.0,ROLL,0.0,
3da4c2cb-c736-409a-be1c-401652740de0,Filter Paper,0.0,PKT,0.0,
31cd3621-5252-4651-8644-8d88921a4599,Peptone Water,0.0,TIN,0.0,
c1ebddba-4bef-477f-aa84-42ad4027e8ba,Potassium Chloride,0.0,TIN,0.0,
1797d37a-2924-45e5-a2e3-2693a41ed3c8,Sodium Benzoate,0.0,TIN,0.0,
0e5cf89a-676f-4695-a5f7-62a5b7cf8061,Chloride Kit,0.0,PKT,0.0,
937cba2d-329a-434a-8113-814e005761a4,Ascorbic Kit,0.0,TIN,0.0,
1c32eade-d7cd-4c55-a993-0cb727e6baa6,Orange G OG6 / OG6,0.0,TIN,0.0,
f859b807-017c-48b6-bf88-1e2c55359ca4,Sodium Iodate,0.0,500,0.0,
aeef3407-3b7b-43ed-aea4-6d744aec0fb1,Cled Agar,0.0,TIN,0.0,
63e623b6-1ea3-4c6a-bccd-dca4b60aee62,Eosin,0.0,25g,0.0,
9cbac4ca-4de1-48bb-9f95-0c52f0d195ed,HIV Kit (Capilus),0.0,PKT,0.0,
bd2a9084-4305-4feb-a20d-1175b9710242,Total Protein,0.0,PKT,0.0,
